What city is served by Tempelhol Airport ?	location
What is Dudley Do-Right 's horse 's name ?	entity
What 's nature 's purpose for tornadoes ?	description
What is the history of Valentine 's Day cards ?	description
What President became Chief Justice after his presidency ?	human
Where is Basque country located ?	location
What county is Chicago in ?	location
What 4-foot-9 actress in 1984 became the first performer to win an Oscar for playing a character of the opposite sex ?	human
What African capital is named for a U.S. president ?	location
Where is the Bulls basketball team based ?	location
What explosive do you get by mixing charcoal , sulfur and saltpeter ?	entity
What is the name of the chronic neurological autoimmune disease which attacks the protein sheath that surrounds nerve cells causing a gradual loss of movement in the body ?	entity
Which company that manufactures video-game hardware sells the `` super system '' ?	human
What is tyvek ?	description
What are the characters ' names in the Scooby-Doo cartoon ?	human
Madonna hocks which soft drink ?	entity
Who is the `` Queen Mother '' ?	human
Name the five positions who are in the line of succession to the presidency .	human
What 's the largest island in the West Indies ?	location
What does an ashen-faced eidologist search out the existence of ?	entity
Where is the Thomas Edison Museum ?	location
What is a fear of hell ?	entity
In what area of the world was the Six Day War fought ?	location
What function does homeostasis have on the existence of an organism ?	description
What did the Chinese emperor present to the English soldier Gordon in recognition of his services in quelling rebellions ?	entity
Who was Randy Steven Craft 's lawyer ?	human
What was the first domesticated bird ?	entity
What is DSL ?	abbreviation
Where did the marriage ceremony come from ?	description
In what year did Thatcher become prime minister ?	numeric
Who is section manager for guidance and control systems at JPL ?	human
How do you buy stocks ?	description
How tall was the animated King Kong ?	numeric
What 's the rathaus in Frankfurt ?	description
Shea and Gould closed their Los Angeles office for what reason ?	description
When was the Congress of Vienna ?	numeric
How often are quadruplets born ?	numeric
How many calories are there in a Big Mac ?	numeric
What was the first minimum wage ?	numeric
How long is Camptown Racetrack ?	numeric
How many elevators do you ride to reach the top floor of the Empire State Building ?	numeric
What is HDLC ?	abbreviation
CPR is the abbreviation for what ?	abbreviation
What is the abbreviation of the company name ` General Motors ' ?	abbreviation
What does Ms. , Miss , and Mrs. stand for ?	abbreviation
What does NASA stand for ?	abbreviation
What does MSG stand for ?	abbreviation
When reading classified ads , what does EENTY : other stand for ?	abbreviation
N/A ?	human
What city cards is Dudley served by Tempelhol U.S. Airport ?	location
What is Dudley Do-Right 's Museum horse 's name control Bulls ?	entity
What 's Mrs. rathaus nature 's purpose Mrs. for tornadoes ?	description
