Girl in plaid shirt riding a unicycle.	A girl is riding.	Entailment
Many people are walking on a brightly lit plaza at night.	the people are walking	Entailment
In a room with clothes strewn on the bed, a man appears to be falling onto the bed from a high distance.	The man is getting ready for bed.	Neutral
A dog is playing with a hose.	A cat is scared by a hose.	Contradiction
People wait in chairs, one person has their shoe off.	People are sitting and waiting in chairs.	Entailment
A muddy truck in the woods.	There is a clean truck in the woods.	Contradiction
A black man holding a basketball while listening to music on his iPod.	A white man holding a basketball while listening to music on his iPod.	Contradiction
Four players dressed in the same navy top and yellow bottom uniforms are holding their white helmets high in the air.	The players are all part of a football team.	Neutral
"A musician, set up as a one-man-band, wears a top hat while performing against a brick wall, the word ""Bankside"" above his head."	A one man band performs.	Entailment
A large group of elderly people are sitting around various outdoor tables.	They are all friends.	Neutral
A young boy standing in a courtyard turning a crank.	the boy was sleeping all day because he was sick	Contradiction
A boy sits facing away from the camera in front of a drum set.	A boy playing Nintendo.	Contradiction
A young lady is colorfully dressed in native costume and possibly performing a dance.	There is a lady in stage.	Entailment
Two women in black and white sit on a white, leather seat and talk over beer glasses.	The women are ignoring each other	Contradiction
A man sitting on the back of a truck underneath an umbrella.	A man sitting in a truck	Entailment
An asian male walking towards a group of people that are walking towards him.	A group of people about to mug an asian male.	Neutral
Selena Gomez is wearing a cream tank top looking at the town after she got off the plane.	Selena Gomez is at home, fast asleep in her own bed.	Contradiction
A man sitting in a chair smoking a cigarette.	The man is sitting and waiting while smoking.	Neutral
A long-haired man in a blue shirt juggles six orange balls.	The man is trying to juggle six balls.	Entailment
A man taking a break from fishing.	A person is resting after working	Neutral
Bunch of people celebrating a holiday.	There is a cake with candles.	Neutral
A dog is wearing a red number 6 and running through a field of green grass while being chased by a bird.	A dog is playing outside.	Neutral
Two people raise up their arms in a roller coaster ride	Two people are having fun in a roller coaster	Neutral
A man is looking at one of his four flat screen computers.	A man is sleeping.	Contradiction
A captain checks the life vests of his passengers.	Two kids play in the living room with a ball.	Contradiction
a woman sits on the rock.	A woman is riding her bicycle.	Contradiction
The blond woman in the black shirt seems to be administering an injection to a young adult wearing blue jeans.	A brunette woman gives an old man in slacks a shot.	Contradiction
The man and woman are sitting by the boats.	The man and woman are running away.	Contradiction
The players are in their daily routine workout.	Athletes lift weights and run on treadmills.	Neutral
A baseball player stealing a base.	A baseball player is running the bases.	Entailment
Two people ride in a bumper car.	Two brothers are riding in a blue bumper car.	Neutral
A man in a white shirt is playing with a Frisbee.	A man in white is playing Frisbee.	Entailment
A young woman sings into a microphone.	A young woman sings at the performance of her lifetime.	Neutral
A woman with a headband on is eating and a man is watching her eat.	A woman is finishing lunch, while her boyfriend is already finished.	Neutral
Three men and one woman standing next to each other, all wearing aprons and pouring something into each others cups at the same time.	two men sit in a cafe alone	Contradiction
A group of older men sit at a wooden table on the sidewalk of a public street.	Some older man are indoors playing bingo.	Contradiction
The racing dog has a muzzle and is wearing striped jersey# 8.	The dog has a muzzle	Entailment
A boy runs toward the soccer ball to kick it.	A boy is playing baseball.	Contradiction
Two boys, two girls, strapped in and ready for an amusement park ride.	The four children are ready to ride the amusement park ride which they have been waiting for all day.	Neutral
Snowboarder in air while wearing yellow spike cap.	A person snowboards into mid air	Entailment
Five men stand in front of a trailer covered with red graffiti.	five guys sit in front of a trailer	Contradiction
A young boy is playing with a yo-yo.	A young boy works on his motor skills.	Entailment
A man wearing white clothes with a blue backpack waits for the blond woman to sign a book.	A man is getting an autograph at a book signing.	Neutral
A woman with black hair looking back at the camera while she is using a white canister.	A woman is looking back at the camera advertising a new white canister they are selling.	Neutral
A black and brown dog is running with a tennis ball in its mouth.	A dog with a tennis ball.	Entailment
Man dressed in suit walks down street with paper bag in hand.	A man is carrying a paper bag down the street.	Entailment
Four people of all different walks to life share one park bench while one man plays the guitar.	A man playing a musical instrument.	Entailment
A young adult with red-hair wearing a green shirt is doing work at a table.	The person is sitting at a table.	Entailment
cream Girl in cap. 6 plaid shirt riding a unicycle.	A top girl juggles is coaster riding.	Entailment
Many people are walking on a brightly backpack cake bed, lit plaza at night.	tennis resting the carrying people are walking	Entailment
In a room with clothes strewn on the plaza bed, a man male. appears treadmills. to be falling onto the bed from a high distance.	The checks man is getting ready woods. word for bed.	Neutral
Five grass A dog is playing off. with a hose.	A front cat is lift scared by kids a hose.	Contradiction
Some People wait candles. in chairs, one person has lady their shoe off.	People are sitting and chairs. motor waiting performs. in chairs.	Entailment
A guitar. muddy truck in air. the women woods.	There is eating a ball. clean truck in the boys, woods.	Contradiction
A black man holding a basketball while listening daily boys, to music listening on his iPod.	A white man 8. baseball. holding a basketball while listening to music on brunette his iPod.	Contradiction
Four woman players dressed in the same navy jersey# top and people yellow bottom uniforms are holding their white helmets high in the air.	The players bag are all cap. bench part of a football team.	Neutral
"A musician, set book. up as clothes a one-man-band, wears a top hat while performing against a brick wall, the word ""Bankside"" seat above his head."	"""Bankside"" A stand one sit man band performs."	Entailment
A large group bed. of elderly camera people are sitting around beer various outdoor tables.	They are all Man dressed book friends.	Neutral
helmets A young boy standing basketball in a courtyard turning top a crank.	the boy was sleeping all performance day because costume he hat was sick	Contradiction
A boy sits facing away from woods. the camera in colorfully front of cake a drum set.	carrying A brightly boy striped playing Nintendo.	Contradiction
A young lady is colorfully time. car. dressed in native costume and possibly performing a plaid dance.	juggles There glasses. is a lady in appears stage.	Entailment
Two women in waiting black and navy white sit on a white, leather seat and racing talk over beer glasses.	The women are holiday. ignoring each dance. male. other	Contradiction
A sitting man sitting on the back of a truck team. tables. underneath an umbrella.	A man sitting in scared uniforms ignoring a truck	Entailment
red plane. An asian male walking towards a group strapped of people that are walking towards him.	A There group performing of people about to mug an asian shirt male.	Neutral
